информационная_безопасность,infosecurity,Защита данных,https://habr.com/ru/hubs/infosecurity/articles/
программирование,programming,Искусство создания компьютерных программ,https://habr.com/ru/hubs/programming/articles/
научно-популярное,popular_science,IT в науке и наука в IT,https://habr.com/ru/hubs/popular_science/articles/
карьера_в_it-индустрии,career,Работать, работать и работать (в IT),https://habr.com/ru/hubs/career/articles/
игры_и_игровые_консоли,games,Камень, ножницы, бумага,https://habr.com/ru/hubs/games/articles/
diy_или_сделай_сам,diy,Для тех, у кого руки растут из нужного места,https://habr.com/ru/hubs/DIY/articles/
старое_железо,antikvariat,Как это было, когда мы были молоды,https://habr.com/ru/hubs/antikvariat/articles/
машинное_обучение,machine_learning,Основа искусственного интеллекта,https://habr.com/ru/hubs/machine_learning/articles/
искусственный_интеллект,artificial_intelligence,AI, ANN и иные формы искусственного разума,https://habr.com/ru/hubs/artificial_intelligence/articles/
сетевые_технологии,network_technologies,От Ethernet до IPv6,https://habr.com/ru/hubs/network_technologies/articles/
разработка_игр,gamedev,Разработка игр,https://habr.com/ru/hubs/gamedev/articles/
математика,maths,Царица всех наук,https://habr.com/ru/hubs/maths/articles/
производство_и_разработка_электроники,electronics,Как наладить процесс,https://habr.com/ru/hubs/electronics/articles/
it-компании,itcompanies,Компании из индустрии №1,https://habr.com/ru/hubs/itcompanies/articles/
реверс-инжиниринг,reverse-engineering,Расковырять и понять как работает,https://habr.com/ru/hubs/reverse-engineering/articles/
python,python,Высокоуровневый язык программирования,https://habr.com/ru/hubs/python/articles/
компьютерное_железо,hardware,Мать, видюха, память, звук и вот это всё,https://habr.com/ru/hubs/hardware/articles/
читальный_зал,read,Полезное чтиво по IT-темам,https://habr.com/ru/hubs/read/articles/
электроника_для_начинающих,easyelectronics,Arduino, DYI и как собрать Электроника,https://habr.com/ru/hubs/easyelectronics/articles/
исследования_и_прогнозы_в_it,research,Исследования, тренды и прогнозы в IT-сфере,https://habr.com/ru/hubs/research/articles/
управление_проектами,pm,Как заставить всё работать,https://habr.com/ru/hubs/pm/articles/
open_source,open_source,Открытое программное обеспечение,https://habr.com/ru/hubs/open_source/articles/
анализ_и_проектирование_систем,analysis_design,Анализируй и проектируй,https://habr.com/ru/hubs/analysis_design/articles/
алгоритмы,algorithms,Все об алгоритмах,https://habr.com/ru/hubs/algorithms/articles/
настройка_linux,linux,Вечный кайф,https://habr.com/ru/hubs/linux/articles/
it-инфраструктура,it-infrastructure,Инфоцентры + базы данных + системы связи,https://habr.com/ru/hubs/it-infrastructure/articles/
системное_администрирование,sys_admin,Лишь бы юзер был доволен,https://habr.com/ru/hubs/sys_admin/articles/
веб-разработка,webdev,Делаем веб лучше,https://habr.com/ru/hubs/webdev/articles/
история_it,history,Занимательные истории из прошлого,https://habr.com/ru/hubs/history/articles/
будущее_здесь,futurenow,Оно буквально в дверь стучится,https://habr.com/ru/hubs/futurenow/articles/
программирование_микроконтроллеров,controllers,Учимся программировать микроконтроллеры,https://habr.com/ru/hubs/controllers/articles/
физика,physics,Наука об окружающем нас мире,https://habr.com/ru/hubs/physics/articles/
devops,devops,Методология разработки программного обеспечения,https://habr.com/ru/hubs/devops/articles/
софт,soft,Программное обеспечение,https://habr.com/ru/hubs/soft/articles/
управление_персоналом,hr_management,Как правильно нанимать, управлять и расставаться,https://habr.com/ru/hubs/hr_management/articles/
хранение_данных,dwh,Что имеем, то храним,https://habr.com/ru/hubs/dwh/articles/
схемотехника,circuit-design,Проектирование электронных схем,https://habr.com/ru/hubs/circuit-design/articles/
учебный_процесс_в_it,study,Обсуждаем обучение, курсы, тесты и стажировки,https://habr.com/ru/hubs/study/articles/
разработка_мобильных_приложений,mobile_dev,Android, iOS, Windows Phone и прочие,https://habr.com/ru/hubs/mobile_dev/articles/
c++,cpp,Типизированный язык программирования,https://habr.com/ru/hubs/cpp/articles/
gadgets,gadgets,Smartphones, tablets, laptops and so on,https://habr.com/ru/hubs/gadgets/articles/
image_processing,image_processing,Working with photos and videos,https://habr.com/ru/hubs/image_processing/articles/
development_for_android,android_dev,Developing for most popular mobile OS,https://habr.com/ru/hubs/android_dev/articles/
finance_in_it,finance,About complex financial matters,https://habr.com/ru/hubs/finance/articles/
search_engines,search_technologies,From Bing to Google,https://habr.com/ru/hubs/search_technologies/articles/
high_performance,hi,Methods for obtaining systems high performance,https://habr.com/ru/hubs/hi/articles/
legislation_in_it,business-laws,We follow how IT industry is being regulated,https://habr.com/ru/hubs/business-laws/articles/
development_management,dev_management,Planning, tracking and monitoring,https://habr.com/ru/hubs/dev_management/articles/
javascript,javascript,High-level, interpreted programming language. It is a language which is also characterized as dynamic, weakly typed, prototype-based and multi-paradigm,https://habr.com/ru/hubs/javascript/articles/
search_engine_optimization,seo,Heading to the top position in search engines,https://habr.com/ru/hubs/seo/articles/
transport,transport,Rides or flies?,https://habr.com/ru/hubs/transport/articles/
c,c,General-purpose, imperative computer programming language, supporting structured programming, lexical variable scope and recursion, while a static type system prevents many unintended operations,https://habr.com/ru/hubs/c/articles/
astronomy,astronomy,The natural science of the universe,https://habr.com/ru/hubs/astronomy/articles/
go,go,Compiled, multithreaded programming language,https://habr.com/ru/hubs/go/articles/
interfaces,ui,What helps to navigate,https://habr.com/ru/hubs/ui/articles/
it_systems_testing,it_testing,Testing everything,https://habr.com/ru/hubs/it_testing/articles/
